City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Salalah,OM,2022-09-11 22:21:54,17.0151,54.0924,78.89,94,100,6.91,overcast clouds
130,Tapes,BR,2022-09-11 22:21:55,-30.6733,-51.3958,53.96,76,68,8.55,broken clouds
131,Severo-Kurilsk,RU,2022-09-11 22:21:55,50.6789,156.125,55.49,87,19,10.67,few clouds
132,Yalta,UA,2022-09-11 22:21:55,44.5,34.1667,68.0,74,24,2.91,few clouds
133,Spornoye,RU,2022-09-11 22:21:56,50.8448,37.2913,57.36,31,100,15.28,overcast clouds
134,Port-Cartier,CA,2022-09-11 22:21:56,50.0334,-66.8654,57.74,86,40,3.15,scattered clouds
135,Bafq,IR,2022-09-11 22:21:57,31.6128,55.4107,80.02,23,71,11.77,broken clouds
136,Turan,VN,2022-09-11 22:21:57,16.0678,108.2208,76.98,88,40,2.3,scattered clouds
137,Cangzhou,CN,2022-09-11 22:21:57,38.3167,116.8667,65.84,81,4,0.36,clear sky
138,Kaitangata,NZ,2022-09-11 22:21:58,-46.2817,169.8464,49.8,65,100,3.83,overcast clouds
139,Norman Wells,CA,2022-09-11 22:21:58,65.282,-126.8329,59.04,51,75,8.05,broken clouds
140,Kavaratti,IN,2022-09-11 22:21:59,10.5669,72.642,80.31,83,100,19.24,overcast clouds
141,Ancud,CL,2022-09-11 22:20:40,-41.8697,-73.8203,47.23,86,100,5.75,overcast clouds
142,Ballina,AU,2022-09-11 22:21:59,-28.8667,153.5667,63.01,78,100,3.96,overcast clouds
143,Palamos,ES,2022-09-11 22:22:00,41.8484,3.1291,75.38,71,37,7.11,scattered clouds
144,Sibolga,ID,2022-09-11 22:22:00,1.7427,98.7792,76.19,87,100,3.2,overcast clouds
145,Kirakira,SB,2022-09-11 22:22:00,-10.4544,161.9205,82.51,74,10,9.53,clear sky
146,Mandalgovi,MN,2022-09-11 22:22:01,45.7625,106.2708,55.65,64,38,7.34,scattered clouds
147,Padang,ID,2022-09-11 22:22:01,-0.9492,100.3543,75.6,81,100,3.94,overcast clouds
148,Sao Joao Da Barra,BR,2022-09-11 22:17:50,-21.6403,-41.0511,69.89,72,99,13.96,overcast clouds
149,Anadyr,RU,2022-09-11 22:22:02,64.75,177.4833,45.1,81,40,11.18,scattered clouds
150,San Matias,BO,2022-09-11 22:22:03,-16.3667,-58.4,89.73,22,12,1.41,few clouds
151,Tiksi,RU,2022-09-11 22:22:03,71.6872,128.8694,35.19,87,98,15.17,overcast clouds
152,Hasaki,JP,2022-09-11 22:22:03,35.7333,140.8333,75.29,87,93,17.87,overcast clouds
153,Yeppoon,AU,2022-09-11 22:22:04,-23.1333,150.7333,62.38,60,5,1.36,clear sky
154,Pelym,RU,2022-09-11 22:22:04,61.0108,61.9978,43.75,80,99,3.89,overcast clouds
155,Buala,SB,2022-09-11 22:22:05,-8.145,159.5921,81.99,73,80,11.14,light rain
156,Benguela,AO,2022-09-11 22:22:05,-12.5763,13.4055,70.02,85,16,2.3,few clouds
157,Baykit,RU,2022-09-11 22:22:06,61.67,96.37,41.81,98,99,2.89,overcast clouds
158,Olafsvik,IS,2022-09-11 22:22:07,64.8945,-23.7142,48.15,64,54,4.16,broken clouds
159,Pisco,PE,2022-09-11 22:22:07,-13.7,-76.2167,64.45,72,9,23.02,dust
160,Conde,BR,2022-09-11 22:22:08,-7.2597,-34.9075,72.86,88,0,9.22,clear sky
161,Fort Nelson,CA,2022-09-11 22:22:08,58.8053,-122.7002,62.19,31,75,6.91,broken clouds
162,Korla,CN,2022-09-11 22:22:08,41.7597,86.1469,79.56,19,99,12.68,overcast clouds
163,Magadan,RU,2022-09-11 22:22:09,59.5667,150.8,50.77,66,8,1.88,clear sky
164,Bandarbeyla,SO,2022-09-11 22:22:09,9.4942,50.8122,78.76,76,25,26.96,scattered clouds
165,Bulgan,MN,2022-09-11 22:22:10,48.8125,103.5347,48.94,88,34,1.59,scattered clouds
166,Moldova Sulita,RO,2022-09-11 22:22:10,47.6833,25.25,47.64,92,79,4.41,broken clouds
167,Quatre Cocos,MU,2022-09-11 22:22:11,-20.2078,57.7625,69.91,74,27,12.73,scattered clouds
168,Machali,CL,2022-09-11 22:22:11,-34.1833,-70.6667,52.88,76,20,6.91,few clouds
169,Lazarev,RU,2022-09-11 22:22:11,52.225,141.5131,53.8,87,100,7.67,overcast clouds
170,Esperance,AU,2022-09-11 22:22:12,-33.8667,121.9,61.2,56,50,18.28,scattered clouds
171,Hamilton,US,2022-09-11 22:18:00,39.1834,-84.5333,78.26,91,100,9.22,overcast clouds
172,Victoria,HK,2022-09-11 22:20:08,22.2855,114.1577,84.38,82,6,4.0,clear sky
173,Bedele,ET,2022-09-11 22:22:13,8.456,36.353,56.28,99,100,0.65,moderate rain
174,Abha,SA,2022-09-11 22:21:25,18.2164,42.5053,69.62,21,0,0.0,clear sky
175,Santa Vitoria Do Palmar,BR,2022-09-11 22:19:30,-33.5189,-53.3681,49.06,84,90,7.56,overcast clouds
176,Tuktoyaktuk,CA,2022-09-11 22:22:14,69.4541,-133.0374,39.2,75,100,0.0,overcast clouds
177,Fukue,JP,2022-09-11 22:22:14,32.6881,128.8419,79.43,84,98,7.99,overcast clouds
178,Durban,ZA,2022-09-11 22:22:15,-29.8579,31.0292,66.02,81,100,3.0,overcast clouds
179,Kodiak,US,2022-09-11 22:22:15,57.79,-152.4072,56.71,72,75,10.36,broken clouds
180,Vicente Guerrero,MX,2022-09-11 22:18:00,19.1194,-98.1708,70.99,70,95,2.64,overcast clouds
181,Yumen,CN,2022-09-11 22:22:16,40.2833,97.2,61.47,27,0,7.47,clear sky
182,Maryville,US,2022-09-11 22:18:54,35.7565,-83.9705,81.66,75,75,13.8,light rain
183,Salinopolis,BR,2022-09-11 22:22:16,-0.6136,-47.3561,79.27,82,82,10.2,broken clouds
184,Bambous Virieux,MU,2022-09-11 22:22:17,-20.3428,57.7575,70.05,78,75,3.44,broken clouds
185,Kuusamo,FI,2022-09-11 22:22:17,65.9667,29.1833,39.24,100,0,2.3,clear sky
186,Port Macquarie,AU,2022-09-11 22:22:17,-31.4333,152.9167,58.89,63,99,4.34,overcast clouds
187,Guymon,US,2022-09-11 22:22:18,36.6828,-101.4816,73.4,38,75,8.05,broken clouds
188,Arak,IR,2022-09-11 22:22:18,34.0917,49.6892,65.7,44,0,2.48,clear sky
189,Dudinka,RU,2022-09-11 22:22:19,69.4058,86.1778,36.63,89,100,11.72,overcast clouds
